Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Bulgaria (BG),01.01.2018 00:00 - 01.01.2018 01:00 (CET),28,1743,0,323,68,0,0,0,0,0,100,9,0,2107,0,0,0,4,0,255
Bulgaria (BG),01.01.2018 01:00 - 01.01.2018 02:00 (CET),28,1696,0,322,69,0,0,0,0,0,96,9,0,2105,0,0,0,4,0,225
Bulgaria (BG),01.01.2018 02:00 - 01.01.2018 03:00 (CET),27,1687,0,320,69,0,0,0,0,0,94,9,0,2104,0,0,0,4,0,216
Bulgaria (BG),01.01.2018 03:00 - 01.01.2018 04:00 (CET),28,1694,0,320,69,0,0,0,0,0,96,9,0,2105,0,0,0,4,0,214
Bulgaria (BG),01.01.2018 04:00 - 01.01.2018 05:00 (CET),28,1694,0,321,68,0,0,0,0,0,99,9,0,2107,0,0,0,4,0,213
Bulgaria (BG),01.01.2018 05:00 - 01.01.2018 06:00 (CET),28,1701,0,333,68,0,0,0,0,0,118,9,0,2106,0,0,0,4,0,193
Bulgaria (BG),01.01.2018 06:00 - 01.01.2018 07:00 (CET),28,1729,0,330,68,0,0,0,0,0,132,9,0,2107,0,0,0,3,0,116
Bulgaria (BG),01.01.2018 07:00 - 01.01.2018 08:00 (CET),29,1701,0,327,68,0,0,0,0,0,156,9,0,2109,0,0,77,3,0,93
Bulgaria (BG),01.01.2018 08:00 - 01.01.2018 09:00 (CET),29,1741,0,327,68,0,0,0,0,0,162,9,0,2107,0,0,298,4,0,45
Bulgaria (BG),01.01.2018 09:00 - 01.01.2018 10:00 (CET),30,1750,0,326,68,0,0,0,0,0,162,9,0,2108,0,0,508,4,0,13
Bulgaria (BG),01.01.2018 10:00 - 01.01.2018 11:00 (CET),29,1713,0,322,67,0,0,0,0,0,164,9,0,2107,0,0,615,4,0,3
Bulgaria (BG),01.01.2018 11:00 - 01.01.2018 12:00 (CET),30,1711,0,321,68,0,0,0,0,0,158,9,0,2107,0,0,635,4,0,1
Bulgaria (BG),01.01.2018 12:00 - 01.01.2018 13:00 (CET),29,1714,0,321,69,0,0,0,0,0,132,9,0,2109,0,0,574,4,0,1
Bulgaria (BG),01.01.2018 13:00 - 01.01.2018 14:00 (CET),29,1710,0,322,69,0,0,0,0,0,122,9,0,2110,0,0,431,4,0,1
Bulgaria (BG),01.01.2018 14:00 - 01.01.2018 15:00 (CET),29,1697,0,323,69,0,0,0,0,0,119,9,0,2108,0,0,219,4,0,4
Bulgaria (BG),01.01.2018 15:00 - 01.01.2018 16:00 (CET),30,1698,0,318,70,0,0,0,0,0,121,16,0,2107,0,0,33,4,0,16
Bulgaria (BG),01.01.2018 16:00 - 01.01.2018 17:00 (CET),30,1701,0,322,70,0,0,0,0,510,139,88,0,2106,0,0,0,4,0,33
Bulgaria (BG),01.01.2018 17:00 - 01.01.2018 18:00 (CET),30,1705,0,326,68,0,0,0,0,667,153,250,0,2105,0,0,0,4,0,46
Bulgaria (BG),01.01.2018 18:00 - 01.01.2018 19:00 (CET),30,1699,0,326,67,0,0,0,0,641,157,201,0,2107,0,0,0,4,0,62
Bulgaria (BG),01.01.2018 19:00 - 01.01.2018 20:00 (CET),30,1699,0,328,68,0,0,0,0,502,154,191,0,2110,0,0,0,4,0,86
Bulgaria (BG),01.01.2018 20:00 - 01.01.2018 21:00 (CET),30,1702,0,328,68,0,0,0,0,311,142,191,0,2108,0,0,0,4,0,92
Bulgaria (BG),01.01.2018 21:00 - 01.01.2018 22:00 (CET),31,1698,0,331,69,0,0,0,0,207,122,191,0,2106,0,0,0,4,0,68
Bulgaria (BG),01.01.2018 22:00 - 01.01.2018 23:00 (CET),31,1697,0,325,67,0,0,0,0,125,105,101,0,2107,0,0,0,4,0,73
Bulgaria (BG),01.01.2018 23:00 - 02.01.2018 00:00 (CET),30,1700,0,325,68,0,0,0,0,0,95,9,0,2106,0,0,0,4,0,91
Bulgaria (BG),02.01.2018 00:00 - 02.01.2018 01:00 (CET),30,1713,0,326,68,0,0,0,0,0,94,9,0,2108,0,0,0,4,0,93
Bulgaria (BG),02.01.2018 01:00 - 02.01.2018 02:00 (CET),29,1694,0,327,68,0,0,0,0,0,91,9,0,2109,0,0,0,4,0,114
Bulgaria (BG),02.01.2018 02:00 - 02.01.2018 03:00 (CET),29,1728,0,326,70,0,0,0,0,0,91,9,0,2109,0,0,0,4,0,109
Bulgaria (BG),02.01.2018 03:00 - 02.01.2018 04:00 (CET),29,1720,0,329,69,0,0,0,0,0,89,9,0,2106,0,0,0,4,0,126
Bulgaria (BG),02.01.2018 04:00 - 02.01.2018 05:00 (CET),28,1803,0,323,71,0,0,0,0,0,94,9,0,2107,0,0,0,4,0,140
Bulgaria (BG),02.01.2018 05:00 - 02.01.2018 06:00 (CET),28,1839,0,330,70,0,0,0,0,0,114,9,0,2109,0,0,0,4,0,144
Bulgaria (BG),02.01.2018 06:00 - 02.01.2018 07:00 (CET),29,1941,0,330,69,0,0,0,0,0,139,22,0,2107,0,0,0,4,0,185
Bulgaria (BG),02.01.2018 07:00 - 02.01.2018 08:00 (CET),28,2092,0,302,69,0,0,0,0,0,147,153,0,2107,0,0,12,4,0,248
Bulgaria (BG),02.01.2018 08:00 - 02.01.2018 09:00 (CET),29,2314,0,266,67,0,0,0,0,0,156,188,0,2108,0,0,71,4,0,315
