Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Switzerland (CH),01.01.2018 00:00 - 01.01.2018 01:00 (CET),0,0,0,0,0,0,0,0,0,54,118,279,0,2816,0,0,0,0,0,29
Switzerland (CH),01.01.2018 01:00 - 01.01.2018 02:00 (CET),0,0,0,0,0,0,0,0,0,66,113,286,0,2595,0,0,0,0,0,26
Switzerland (CH),01.01.2018 02:00 - 01.01.2018 03:00 (CET),0,0,0,0,0,0,0,0,0,88,127,272,0,2810,0,0,0,0,0,29
Switzerland (CH),01.01.2018 03:00 - 01.01.2018 04:00 (CET),0,0,0,0,0,0,0,0,0,50,123,264,0,2813,0,0,0,0,0,29
Switzerland (CH),01.01.2018 04:00 - 01.01.2018 05:00 (CET),0,0,0,0,0,0,0,0,0,106,105,263,0,1864,0,0,0,0,0,29
Switzerland (CH),01.01.2018 05:00 - 01.01.2018 06:00 (CET),0,0,0,0,0,0,0,0,0,67,107,250,0,2264,0,0,0,0,0,26
Switzerland (CH),01.01.2018 06:00 - 01.01.2018 07:00 (CET),0,0,0,0,0,0,0,0,0,76,111,247,0,2817,0,0,0,0,0,25
Switzerland (CH),01.01.2018 07:00 - 01.01.2018 08:00 (CET),0,0,0,0,0,0,0,0,0,95,111,198,0,2816,0,0,0,0,0,23
Switzerland (CH),01.01.2018 08:00 - 01.01.2018 09:00 (CET),0,0,0,0,0,0,0,0,0,89,110,227,0,2817,0,0,2,0,0,19
Switzerland (CH),01.01.2018 09:00 - 01.01.2018 10:00 (CET),0,0,0,0,0,0,0,0,0,115,120,185,0,2818,0,0,22,0,0,22
Switzerland (CH),01.01.2018 10:00 - 01.01.2018 11:00 (CET),0,0,0,0,0,0,0,0,0,123,113,179,0,2818,0,0,65,0,0,24
Switzerland (CH),01.01.2018 11:00 - 01.01.2018 12:00 (CET),0,0,0,0,0,0,0,0,0,97,102,231,0,2815,0,0,98,0,0,20
Switzerland (CH),01.01.2018 12:00 - 01.01.2018 13:00 (CET),0,0,0,0,0,0,0,0,0,98,100,290,0,2769,0,0,107,0,0,26
Switzerland (CH),01.01.2018 13:00 - 01.01.2018 14:00 (CET),0,0,0,0,0,0,0,0,0,108,102,319,0,2764,0,0,96,0,0,26
Switzerland (CH),01.01.2018 14:00 - 01.01.2018 15:00 (CET),0,0,0,0,0,0,0,0,0,105,104,265,0,2764,0,0,55,0,0,22
Switzerland (CH),01.01.2018 15:00 - 01.01.2018 16:00 (CET),0,0,0,0,0,0,0,0,0,89,105,296,0,2803,0,0,17,0,0,21
Switzerland (CH),01.01.2018 16:00 - 01.01.2018 17:00 (CET),0,0,0,0,0,0,0,0,0,116,106,273,0,2814,0,0,2,0,0,21
Switzerland (CH),01.01.2018 17:00 - 01.01.2018 18:00 (CET),0,0,0,0,0,0,0,0,0,171,110,264,0,2815,0,0,0,0,0,22
Switzerland (CH),01.01.2018 18:00 - 01.01.2018 19:00 (CET),0,0,0,0,0,0,0,0,0,797,115,563,0,2818,0,0,0,0,0,22
Switzerland (CH),01.01.2018 19:00 - 01.01.2018 20:00 (CET),0,0,0,0,0,0,0,0,0,730,116,410,0,2815,0,0,0,0,0,23
Switzerland (CH),01.01.2018 20:00 - 01.01.2018 21:00 (CET),0,0,0,0,0,0,0,0,0,518,113,294,0,2812,0,0,0,0,0,23
Switzerland (CH),01.01.2018 21:00 - 01.01.2018 22:00 (CET),0,0,0,0,0,0,0,0,0,88,111,280,0,2814,0,0,0,0,0,23
Switzerland (CH),01.01.2018 22:00 - 01.01.2018 23:00 (CET),0,0,0,0,0,0,0,0,0,31,111,284,0,2814,0,0,0,0,0,23
Switzerland (CH),01.01.2018 23:00 - 02.01.2018 00:00 (CET),0,0,0,0,0,0,0,0,0,26,109,264,0,2814,0,0,0,0,0,22
Switzerland (CH),02.01.2018 00:00 - 02.01.2018 01:00 (CET),0,0,0,0,0,0,0,0,0,30,109,248,0,2816,0,0,0,0,0,21
Switzerland (CH),02.01.2018 01:00 - 02.01.2018 02:00 (CET),0,0,0,0,0,0,0,0,0,10,106,260,0,2819,0,0,0,0,0,23
Switzerland (CH),02.01.2018 02:00 - 02.01.2018 03:00 (CET),0,0,0,0,0,0,0,0,0,10,116,259,0,2819,0,0,0,0,0,22
Switzerland (CH),02.01.2018 03:00 - 02.01.2018 04:00 (CET),0,0,0,0,0,0,0,0,0,14,111,260,0,2819,0,0,0,0,0,22
Switzerland (CH),02.01.2018 04:00 - 02.01.2018 05:00 (CET),0,0,0,0,0,0,0,0,0,30,115,239,0,2819,0,0,0,0,0,23
Switzerland (CH),02.01.2018 05:00 - 02.01.2018 06:00 (CET),0,0,0,0,0,0,0,0,0,54,117,257,0,2365,0,0,0,0,0,23
Switzerland (CH),02.01.2018 06:00 - 02.01.2018 07:00 (CET),0,0,0,0,0,0,0,0,0,88,120,301,0,2788,0,0,0,0,0,24
Switzerland (CH),02.01.2018 07:00 - 02.01.2018 08:00 (CET),0,0,0,0,0,0,0,0,0,134,110,301,0,2817,0,0,0,0,0,22
Switzerland (CH),02.01.2018 08:00 - 02.01.2018 09:00 (CET),0,0,0,0,0,0,0,0,0,180,126,307,0,2819,0,0,2,0,0,21
Switzerland (CH),02.01.2018 09:00 - 02.01.2018 10:00 (CET),0,0,0,0,0,0,0,0,0,229,117,335,0,2820,0,0,16,0,0,17
Switzerland (CH),02.01.2018 10:00 - 02.01.2018 11:00 (CET),0,0,0,0,0,0,0,0,0,218,118,312,0,2820,0,0,43,0,0,15
Switzerland (CH),02.01.2018 11:00 - 02.01.2018 12:00 (CET),0,0,0,0,0,0,0,0,0,177,118,302,0,2820,0,0,60,0,0,15
Switzerland (CH),02.01.2018 12:00 - 02.01.2018 13:00 (CET),0,0,0,0,0,0,0,0,0,198,123,218,0,2819,0,0,55,0,0,12
Switzerland (CH),02.01.2018 13:00 - 02.01.2018 14:00 (CET),0,0,0,0,0,0,0,0,0,215,121,202,0,2820,0,0,51,0,0,10
Switzerland (CH),02.01.2018 14:00 - 02.01.2018 15:00 (CET),0,0,0,0,0,0,0,0,0,546,121,161,0,2821,0,0,34,0,0,11
Switzerland (CH),02.01.2018 15:00 - 02.01.2018 16:00 (CET),0,0,0,0,0,0,0,0,0,617,124,186,0,2817,0,0,16,0,0,11
Switzerland (CH),02.01.2018 16:00 - 02.01.2018 17:00 (CET),0,0,0,0,0,0,0,0,0,933,123,164,0,2816,0,0,2,0,0,13
Switzerland (CH),02.01.2018 17:00 - 02.01.2018 18:00 (CET),0,0,0,0,0,0,0,0,0,1041,117,423,0,2815,0,0,0,0,0,11
Switzerland (CH),02.01.2018 18:00 - 02.01.2018 19:00 (CET),0,0,0,0,0,0,0,0,0,1026,117,454,0,2818,0,0,0,0,0,13
Switzerland (CH),02.01.2018 19:00 - 02.01.2018 20:00 (CET),0,0,0,0,0,0,0,0,0,512,118,282,0,2819,0,0,0,0,0,23
Switzerland (CH),02.01.2018 20:00 - 02.01.2018 21:00 (CET),0,0,0,0,0,0,0,0,0,285,122,314,0,2820,0,0,0,0,0,24
Switzerland (CH),02.01.2018 21:00 - 02.01.2018 22:00 (CET),0,0,0,0,0,0,0,0,0,198,112,255,0,2819,0,0,0,0,0,22
Switzerland (CH),02.01.2018 22:00 - 02.01.2018 23:00 (CET),0,0,0,0,0,0,0,0,0,223,118,237,0,2821,0,0,0,0,0,24
Switzerland (CH),02.01.2018 23:00 - 03.01.2018 00:00 (CET),0,0,0,0,0,0,0,0,0,157,119,219,0,2825,0,0,0,0,0,24
Switzerland (CH),03.01.2018 00:00 - 03.01.2018 01:00 (CET),0,0,0,0,0,0,0,0,0,133,109,195,0,2825,0,0,0,0,0,26
Switzerland (CH),03.01.2018 01:00 - 03.01.2018 02:00 (CET),0,0,0,0,0,0,0,0,0,119,114,191,0,2823,0,0,0,0,0,27
Switzerland (CH),03.01.2018 02:00 - 03.01.2018 03:00 (CET),0,0,0,0,0,0,0,0,0,136,111,202,0,2823,0,0,0,0,0,27
Switzerland (CH),03.01.2018 03:00 - 03.01.2018 04:00 (CET),0,0,0,0,0,0,0,0,0,93,112,205,0,2820,0,0,0,0,0,28
Switzerland (CH),03.01.2018 04:00 - 03.01.2018 05:00 (CET),0,0,0,0,0,0,0,0,0,92,109,211,0,2818,0,0,0,0,0,26
Switzerland (CH),03.01.2018 05:00 - 03.01.2018 06:00 (CET),0,0,0,0,0,0,0,0,0,116,103,232,0,2813,0,0,0,0,0,27
Switzerland (CH),03.01.2018 06:00 - 03.01.2018 07:00 (CET),0,0,0,0,0,0,0,0,0,200,126,263,0,2804,0,0,0,0,0,27
Switzerland (CH),03.01.2018 07:00 - 03.01.2018 08:00 (CET),0,0,0,0,0,0,0,0,0,614,117,366,0,2796,0,0,0,0,0,27
Switzerland (CH),03.01.2018 08:00 - 03.01.2018 09:00 (CET),0,0,0,0,0,0,0,0,0,1296,118,362,0,2793,0,0,1,0,0,23
Switzerland (CH),03.01.2018 09:00 - 03.01.2018 10:00 (CET),0,0,0,0,0,0,0,0,0,1102,110,319,0,2749,0,0,8,0,0,17
Switzerland (CH),03.01.2018 10:00 - 03.01.2018 11:00 (CET),0,0,0,0,0,0,0,0,0,757,119,276,0,2753,0,0,11,0,0,13
Switzerland (CH),03.01.2018 11:00 - 03.01.2018 12:00 (CET),0,0,0,0,0,0,0,0,0,733,103,218,0,2790,0,0,21,0,0,12
Switzerland (CH),03.01.2018 12:00 - 03.01.2018 13:00 (CET),0,0,0,0,0,0,0,0,0,805,113,389,0,2812,0,0,13,0,0,12
Switzerland (CH),03.01.2018 13:00 - 03.01.2018 14:00 (CET),0,0,0,0,0,0,0,0,0,823,126,191,0,2821,0,0,16,0,0,17
Switzerland (CH),03.01.2018 14:00 - 03.01.2018 15:00 (CET),0,0,0,0,0,0,0,0,0,858,113,164,0,2814,0,0,19,0,0,19
Switzerland (CH),03.01.2018 15:00 - 03.01.2018 16:00 (CET),0,0,0,0,0,0,0,0,0,942,126,138,0,2639,0,0,16,0,0,21
