Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Cyprus (CY),01.01.2018 00:00 - 01.01.2018 00:30 (CET),0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Cyprus (CY),01.01.2018 00:30 - 01.01.2018 01:00 (CET),0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Cyprus (CY),01.01.2018 01:00 - 01.01.2018 01:30 (CET),0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Cyprus (CY),01.01.2018 01:30 - 01.01.2018 02:00 (CET),0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Cyprus (CY),01.01.2018 02:00 - 01.01.2018 02:30 (CET),0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Cyprus (CY),01.01.2018 02:30 - 01.01.2018 03:00 (CET),0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Cyprus (CY),01.01.2018 03:00 - 01.01.2018 03:30 (CET),0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Cyprus (CY),01.01.2018 03:30 - 01.01.2018 04:00 (CET),0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,58
Cyprus (CY),01.01.2018 04:00 - 01.01.2018 04:30 (CET),0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,59
Cyprus (CY),01.01.2018 04:30 - 01.01.2018 05:00 (CET),0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,36
Cyprus (CY),01.01.2018 05:00 - 01.01.2018 05:30 (CET),0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Cyprus (CY),01.01.2018 05:30 - 01.01.2018 06:00 (CET),0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Cyprus (CY),01.01.2018 06:00 - 01.01.2018 06:30 (CET),0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,37
Cyprus (CY),01.01.2018 06:30 - 01.01.2018 07:00 (CET),0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Cyprus (CY),01.01.2018 07:00 - 01.01.2018 07:30 (CET),0,0,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Cyprus (CY),01.01.2018 07:30 - 01.01.2018 08:00 (CET),0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Cyprus (CY),01.01.2018 08:00 - 01.01.2018 08:30 (CET),0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Cyprus (CY),01.01.2018 08:30 - 01.01.2018 09:00 (CET),0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Cyprus (CY),01.01.2018 09:00 - 01.01.2018 09:30 (CET),0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Cyprus (CY),01.01.2018 09:30 - 01.01.2018 10:00 (CET),0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Cyprus (CY),01.01.2018 10:00 - 01.01.2018 10:30 (CET),0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,54
Cyprus (CY),01.01.2018 10:30 - 01.01.2018 11:00 (CET),0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,70
Cyprus (CY),01.01.2018 11:00 - 01.01.2018 11:30 (CET),0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,73
Cyprus (CY),01.01.2018 11:30 - 01.01.2018 12:00 (CET),0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,64
Cyprus (CY),01.01.2018 12:00 - 01.01.2018 12:30 (CET),0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,76
Cyprus (CY),01.01.2018 12:30 - 01.01.2018 13:00 (CET),0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,78
Cyprus (CY),01.01.2018 13:00 - 01.01.2018 13:30 (CET),0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,82
Cyprus (CY),01.01.2018 13:30 - 01.01.2018 14:00 (CET),0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,82
Cyprus (CY),01.01.2018 14:00 - 01.01.2018 14:30 (CET),0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Cyprus (CY),01.01.2018 14:30 - 01.01.2018 15:00 (CET),0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,70
Cyprus (CY),01.01.2018 15:00 - 01.01.2018 15:30 (CET),0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,74
Cyprus (CY),01.01.2018 15:30 - 01.01.2018 16:00 (CET),0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,70
Cyprus (CY),01.01.2018 16:00 - 01.01.2018 16:30 (CET),0,0,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,69
Cyprus (CY),01.01.2018 16:30 - 01.01.2018 17:00 (CET),0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,73
Cyprus (CY),01.01.2018 17:00 - 01.01.2018 17:30 (CET),0,0,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,59
Cyprus (CY),01.01.2018 17:30 - 01.01.2018 18:00 (CET),0,0,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0,0,0,52
Cyprus (CY),01.01.2018 18:00 - 01.01.2018 18:30 (CET),0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,62
Cyprus (CY),01.01.2018 18:30 - 01.01.2018 19:00 (CET),0,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,60
Cyprus (CY),01.01.2018 19:00 - 01.01.2018 19:30 (CET),0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,57
Cyprus (CY),01.01.2018 19:30 - 01.01.2018 20:00 (CET),0,0,0,0,0,534,0,0,0,0,0,0,0,0,0,0,0,0,0,58
Cyprus (CY),01.01.2018 20:00 - 01.01.2018 20:30 (CET),0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,58
Cyprus (CY),01.01.2018 20:30 - 01.01.2018 21:00 (CET),0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,60
Cyprus (CY),01.01.2018 21:00 - 01.01.2018 21:30 (CET),0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,51
Cyprus (CY),01.01.2018 21:30 - 01.01.2018 22:00 (CET),0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Cyprus (CY),01.01.2018 22:00 - 01.01.2018 22:30 (CET),0,0,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,56
Cyprus (CY),01.01.2018 22:30 - 01.01.2018 23:00 (CET),0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,42
Cyprus (CY),01.01.2018 23:00 - 01.01.2018 23:30 (CET),0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,31
Cyprus (CY),01.01.2018 23:30 - 02.01.2018 00:00 (CET),0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Cyprus (CY),02.01.2018 00:00 - 02.01.2018 00:30 (CET),0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Cyprus (CY),02.01.2018 00:30 - 02.01.2018 01:00 (CET),0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Cyprus (CY),02.01.2018 01:00 - 02.01.2018 01:30 (CET),0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Cyprus (CY),02.01.2018 01:30 - 02.01.2018 02:00 (CET),0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Cyprus (CY),02.01.2018 02:00 - 02.01.2018 02:30 (CET),0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Cyprus (CY),02.01.2018 02:30 - 02.01.2018 03:00 (CET),0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Cyprus (CY),02.01.2018 03:00 - 02.01.2018 03:30 (CET),0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Cyprus (CY),02.01.2018 03:30 - 02.01.2018 04:00 (CET),0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Cyprus (CY),02.01.2018 04:00 - 02.01.2018 04:30 (CET),0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Cyprus (CY),02.01.2018 04:30 - 02.01.2018 05:00 (CET),0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Cyprus (CY),02.01.2018 05:00 - 02.01.2018 05:30 (CET),0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Cyprus (CY),02.01.2018 05:30 - 02.01.2018 06:00 (CET),0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Cyprus (CY),02.01.2018 06:00 - 02.01.2018 06:30 (CET),0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Cyprus (CY),02.01.2018 06:30 - 02.01.2018 07:00 (CET),0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Cyprus (CY),02.01.2018 07:00 - 02.01.2018 07:30 (CET),0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Cyprus (CY),02.01.2018 07:30 - 02.01.2018 08:00 (CET),0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Cyprus (CY),02.01.2018 08:00 - 02.01.2018 08:30 (CET),0,0,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Cyprus (CY),02.01.2018 08:30 - 02.01.2018 09:00 (CET),0,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Cyprus (CY),02.01.2018 09:00 - 02.01.2018 09:30 (CET),0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Cyprus (CY),02.01.2018 09:30 - 02.01.2018 10:00 (CET),0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Cyprus (CY),02.01.2018 10:00 - 02.01.2018 10:30 (CET),0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Cyprus (CY),02.01.2018 10:30 - 02.01.2018 11:00 (CET),0,0,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Cyprus (CY),02.01.2018 11:00 - 02.01.2018 11:30 (CET),0,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Cyprus (CY),02.01.2018 11:30 - 02.01.2018 12:00 (CET),0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Cyprus (CY),02.01.2018 12:00 - 02.01.2018 12:30 (CET),0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Cyprus (CY),02.01.2018 12:30 - 02.01.2018 13:00 (CET),0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Cyprus (CY),02.01.2018 13:00 - 02.01.2018 13:30 (CET),0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Cyprus (CY),02.01.2018 13:30 - 02.01.2018 14:00 (CET),0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Cyprus (CY),02.01.2018 14:00 - 02.01.2018 14:30 (CET),0,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Cyprus (CY),02.01.2018 14:30 - 02.01.2018 15:00 (CET),0,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Cyprus (CY),02.01.2018 15:00 - 02.01.2018 15:30 (CET),0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Cyprus (CY),02.01.2018 15:30 - 02.01.2018 16:00 (CET),0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Cyprus (CY),02.01.2018 16:00 - 02.01.2018 16:30 (CET),0,0,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Cyprus (CY),02.01.2018 16:30 - 02.01.2018 17:00 (CET),0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Cyprus (CY),02.01.2018 17:00 - 02.01.2018 17:30 (CET),0,0,0,0,0,644,0,0,0,0,0,0,0,0,0,0,0,0,0,22
