Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Estonia (EE),01.01.2018 00:00 - 01.01.2018 01:00 (CET),68,0,0,1,0,0,708,5,0,0,3,0,0,0,0,6,1,16,0,71
Estonia (EE),01.01.2018 01:00 - 01.01.2018 02:00 (CET),71,0,0,1,0,0,712,5,0,0,3,0,0,0,0,6,1,16,0,80
Estonia (EE),01.01.2018 02:00 - 01.01.2018 03:00 (CET),73,0,0,1,0,0,774,5,0,0,3,0,0,0,0,6,1,15,0,86
Estonia (EE),01.01.2018 03:00 - 01.01.2018 04:00 (CET),70,0,0,1,0,0,808,4,0,0,3,0,0,0,0,6,1,16,0,74
Estonia (EE),01.01.2018 04:00 - 01.01.2018 05:00 (CET),71,0,0,1,0,0,812,4,0,0,3,0,0,0,0,6,1,16,0,71
Estonia (EE),01.01.2018 05:00 - 01.01.2018 06:00 (CET),71,0,0,1,0,0,813,4,0,0,3,0,0,0,0,6,1,15,0,74
Estonia (EE),01.01.2018 06:00 - 01.01.2018 07:00 (CET),70,0,0,1,0,0,735,4,0,0,3,0,0,0,0,6,1,15,0,69
Estonia (EE),01.01.2018 07:00 - 01.01.2018 08:00 (CET),71,0,0,1,0,0,713,4,0,0,3,0,0,0,0,6,1,15,0,62
Estonia (EE),01.01.2018 08:00 - 01.01.2018 09:00 (CET),70,0,0,1,0,0,691,4,0,0,3,0,0,0,0,6,1,16,0,60
Estonia (EE),01.01.2018 09:00 - 01.01.2018 10:00 (CET),69,0,0,1,0,0,677,4,0,0,3,0,0,0,0,6,1,16,0,61
Estonia (EE),01.01.2018 10:00 - 01.01.2018 11:00 (CET),68,0,0,1,0,0,662,4,0,0,3,0,0,0,0,6,1,16,0,57
Estonia (EE),01.01.2018 11:00 - 01.01.2018 12:00 (CET),69,0,0,1,0,0,649,4,0,0,3,0,0,0,0,6,1,16,0,56
Estonia (EE),01.01.2018 12:00 - 01.01.2018 13:00 (CET),68,0,0,1,0,0,611,4,0,0,3,0,0,0,0,6,1,16,0,68
Estonia (EE),01.01.2018 13:00 - 01.01.2018 14:00 (CET),68,0,0,1,0,0,625,4,0,0,3,0,0,0,0,6,1,15,0,73
Estonia (EE),01.01.2018 14:00 - 01.01.2018 15:00 (CET),68,0,0,1,0,0,647,4,0,0,3,0,0,0,0,6,1,15,0,71
Estonia (EE),01.01.2018 15:00 - 01.01.2018 16:00 (CET),71,0,0,1,0,0,729,4,0,0,3,0,0,0,0,6,1,15,0,91
Estonia (EE),01.01.2018 16:00 - 01.01.2018 17:00 (CET),72,0,0,1,0,0,748,4,0,0,3,0,0,0,0,6,1,13,0,128
Estonia (EE),01.01.2018 17:00 - 01.01.2018 18:00 (CET),73,0,0,1,0,0,691,5,0,0,3,0,0,0,0,6,1,15,0,142
Estonia (EE),01.01.2018 18:00 - 01.01.2018 19:00 (CET),73,0,0,1,0,0,679,5,0,0,3,0,0,0,0,6,1,15,0,169
Estonia (EE),01.01.2018 19:00 - 01.01.2018 20:00 (CET),74,0,0,1,0,0,639,5,0,0,3,0,0,0,0,6,1,15,0,188
Estonia (EE),01.01.2018 20:00 - 01.01.2018 21:00 (CET),75,0,0,1,0,0,703,5,0,0,3,0,0,0,0,6,1,14,0,181
Estonia (EE),01.01.2018 21:00 - 01.01.2018 22:00 (CET),76,0,0,1,0,0,764,5,0,0,3,0,0,0,0,6,1,14,0,182
Estonia (EE),01.01.2018 22:00 - 01.01.2018 23:00 (CET),75,0,0,1,0,0,712,5,0,0,3,0,0,0,0,6,1,13,0,178
Estonia (EE),01.01.2018 23:00 - 02.01.2018 00:00 (CET),74,0,0,1,0,0,649,5,0,0,3,0,0,0,0,6,1,14,0,182
Estonia (EE),02.01.2018 00:00 - 02.01.2018 01:00 (CET),72,0,0,1,0,0,716,5,0,0,3,0,0,0,0,6,1,15,0,191
Estonia (EE),02.01.2018 01:00 - 02.01.2018 02:00 (CET),71,0,0,1,0,0,711,5,0,0,3,0,0,0,0,6,1,15,0,199
Estonia (EE),02.01.2018 02:00 - 02.01.2018 03:00 (CET),71,0,0,1,0,0,677,5,0,0,3,0,0,0,0,6,1,15,0,216
